code,dtype_code,dstype_code,status_code,device_id,device_sub_id,digital_id,serial_number,provider_id,provider_name,purpose,firmware,make,model,expiry_date,certification_level,foundational_trust_provider_id,is_active,cr_by,cr_dtimes,eff_dtimes
11075f50-92a4-4311-b3cb-94d239a3f50c,Face,Full face,REGISTERED,11075f50-92a4-4311-b3cb-94d239a3f50c,[0],"{""serialNo"":""173528092"",""deviceProvider"":""SYNCBYTE"",""deviceProviderId"":""SYNCBYTE.LTC165"",""make"":""Logitech"",""model"":""C615"",""dateTime"":""2020-09-04T09:12:49.735Z"",""type"":""Face"",""deviceSubType"":""Full face""}",173528092,SYNCBYTE.LTC165,SYNCBYTE,Registration,SB.WIN.001,Logitech,C615,2020-12-16 09:06:38.161000,L0,,true,lisbon,now(),now()
79847aec-b87c-4692-9ae9-43ba203a3411,Face,Full face,REGISTERED,79847aec-b87c-4692-9ae9-43ba203a3411,[0],"{""serialNo"":""535626446"",""deviceProvider"":""SYNCBYTE"",""deviceProviderId"":""SYNCBYTE.LTC165"",""make"":""Logitech"",""model"":""C615"",""dateTime"":""2020-09-06T08:08:43.042Z"",""type"":""Face"",""deviceSubType"":""Full face""}",535626446,SYNCBYTE.LTC165,SYNCBYTE,Registration,SB.WIN.001,Logitech,C615,2020-12-16 09:06:38.161000,L0,,true,lisbon,now(),now()
bbc115fa-5343-4a38-916c-1e145794de42,Finger,Slab,REGISTERED,bbc115fa-5343-4a38-916c-1e145794de42,"[1,2,3]","{""serialNo"":""C8R1DP06396"",""deviceProvider"":""SYNCBYTE"",""deviceProviderId"":""SYNCBYTE.TCI322"",""make"":""SB"",""model"":""FRO900"",""dateTime"":""2020-09-04T09:26:27.825Z"",""type"":""Finger"",""deviceSubType"":""Slab""}",C8R1DP06396,SYNCBYTE.TCI322,SYNCBYTE,Registration,SB.WIN.001,SB,FRO900,2020-12-16 09:06:38.161000,L0,,true,lisbon,now(),now()
bc808c02-1a7d-4a5d-848f-1aa8590ca6ef,Iris,DoubleIris,REGISTERED,bc808c02-1a7d-4a5d-848f-1aa8590ca6ef,"[1,2,3]","{""serialNo"":""9149769"",""deviceProvider"":""SYNCBYTE"",""deviceProviderId"":""SYNCBYTE.TCI322"",""make"":""EYECOOL"",""model"":""TCI322"",""dateTime"":""2020-09-04T10:18:11.941Z"",""type"":""Iris"",""deviceSubType"":""DoubleIris""}",9149769,SYNCBYTE.TCI322,SYNCBYTE,Registration,SB.WIN.001,EYECOOL,TCI322,2020-12-16 09:06:38.161000,L0,,true,lisbon,now(),now()
ceec5f62-77b7-46f3-816b-3e734305a9c8,Iris,DoubleIris,REGISTERED,ceec5f62-77b7-46f3-816b-3e734305a9c8,"[1,2,3]","{""serialNo"":""9149771"",""deviceProvider"":""SYNCBYTE"",""deviceProviderId"":""SYNCBYTE.TCI322"",""make"":""EYECOOL"",""model"":""TCI322"",""dateTime"":""2020-09-04T09:44:51.490Z"",""type"":""Iris"",""deviceSubType"":""DoubleIris""}",9149771,SYNCBYTE.TCI322,SYNCBYTE,Registration,SB.WIN.001,EYECOOL,TCI322,2020-12-16 09:06:38.161000,L0,,true,lisbon,now(),now()
d2649d13-b911-471c-9932-f63355ee0101,Finger,Single,REGISTERED,d2649d13-b911-471c-9932-f63355ee0101,"[1,2,3]","{""serialNo"":""C8R1DP06397"",""deviceProvider"":""SYNCBYTE"",""deviceProviderId"":""SYNCBYTE.TCI322"",""make"":""SB"",""model"":""FRO900"",""dateTime"":""2020-09-04T11:17:52.566Z"",""type"":""Finger"",""deviceSubType"":""Slab""}",C8R1DP06397,SYNCBYTE.TCI322,SYNCBYTE,Registration,SB.WIN.001,SB,FRO900,2020-12-16 09:06:38.161000,L0,,true,lisbon,now(),now()
e333db51-4811-491c-912f-d3646b933b77,Finger,Single,REGISTERED,860c43ea-f447-48c4-8d3b-a3d2cb8daf12,[0],"{""serialNo"":""1801160224"",""deviceProvider"":""SYNCBYTE"",""deviceProviderId"":""SYNCBYTE.MC01A"",""make"":""MC01A"",""model"":""SMIDCL"",""dateTime"":""2020-09-04T09:28:33.427Z"",""type"":""Finger"",""deviceSubType"":""Single""}",1801160224,SYNCBYTE.MC01A,SYNCBYTE,Auth,SB.WIN.001,MC01A,SMIDCL,2020-12-16 09:06:38.161000,L0,,true,lisbon,now(),now()
06ca1c25-55c9-4944-ae38-eb1996190261,Face,Full face,REGISTERED,06ca1c25-55c9-4944-ae38-eb1996190261,[0],"{""serialNo"":""90188719"",""deviceProvider"":""SYNCBYTE"",""deviceProviderId"":""SYNCBYTE.LTC165"",""make"":""Logitech"",""model"":""C615"",""dateTime"":""2020-09-07T08:27:56.153Z"",""type"":""Face"",""deviceSubType"":""Full face""}",90188719,SYNCBYTE.LTC165,SYNCBYTE,Auth,SB.WIN.001,Logitech,C615,2020-12-16 09:06:38.161000,L0,,true,lisbon,now(),now()
