code,descr,lang_code,is_active,cr_by,cr_dtimes
RS_UNLOCK_AUTH_SUCCESS_EMAIL_SUB,Objet du courriel de confirmation du déverrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_UNLOCK_AUTH_SUCCESS_SMS,SMS de confirmation du déverrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_VIN_GEN_SUCCESS_EMAIL,Courriel de confirmation de la génération de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_GEN_SUCCESS_EMAIL_SUB,Objet du courriel de confirmation de la génération de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_GEN_SUCCESS_SMS,SMS de confirmation de la génération de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_REV_SUCCESS_EMAIL,Courriel de confirmation de la révocation de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_REV_SUCCESS_EMAIL_SUB,Objet du courriel de confirmation de la révocation de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_REV_SUCCESS_SMS,SMS de confirmation de la révocation de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_UIN_RPR_SUCCESS_EMAIL,Courriel de confirmation de la requete de réimpression,fra,TRUE,superadmin,now()
RS_UIN_RPR_SUCCESS_EMAIL_SUB,Objet du courriel de confirmation de la requete de réimpression,fra,TRUE,superadmin,now()
RS_UIN_RPR_SUCCESS_SMS,SMS de confirmation de la requete de réimpression,fra,TRUE,superadmin,now()
RS_AUTH_HIST_FAILURE_EMAIL,Courriel pour les historiques d'authentification en échec,fra,TRUE,superadmin,now()
RS_AUTH_HIST_FAILURE_EMAIL_SUB,Objet du Courriel pour les historiques d'authentification en échec,fra,TRUE,superadmin,now()
RS_AUTH_HIST_FAILURE_SMS,SMS pour les historiques d'authentification en échec,fra,TRUE,superadmin,now()
RS_DOW_UIN_FAILURE_EMAIL,Courriel d'échec du téléchargement de d'identifiant national,fra,TRUE,superadmin,now()
RS_DOW_UIN_FAILURE_EMAIL_SUB,Objet du courriel d'échec du téléchargement de d'identifiant national,fra,TRUE,superadmin,now()
RS_DOW_UIN_FAILURE_SMS,SMS pour l'échec du téléchargement de d'identifiant national,fra,TRUE,superadmin,now()
RS_LOCK_AUTH_FAILURE_EMAIL,Courriel de confirmation de l'échec du verrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_LOCK_AUTH_FAILURE_EMAIL_SUB,Objet du courriel de confirmation de l'échec du verrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_LOCK_AUTH_FAILURE_SMS,SMS de confirmation de l'échec du verrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_UIN_RPR_FAILURE_EMAIL,Courriel d'échec de la requete de réimpression,fra,TRUE,superadmin,now()
RS_UIN_RPR_FAILURE_EMAIL_SUB,Objet du courriel d'échec de la requete de réimpression,fra,TRUE,superadmin,now()
RS_UIN_RPR_FAILURE_SMS,SMS d'échec de la requete de réimpression,fra,TRUE,superadmin,now()
RS_UNLOCK_AUTH_FAILURE_EMAIL,Courriel de l'échec du déverrouillage des types d'authentifcation,fra,TRUE,superadmin,now()
RS_UNLOCK_AUTH_FAILURE_EMAIL_SUB,Objet du courriel de l'échec du déverrouillage des types d'authentifcation,fra,TRUE,superadmin,now()
RS_UNLOCK_AUTH_FAILURE_SMS,SMS de l'échec du déverrouillage des types d'authentifcation,fra,TRUE,superadmin,now()
RS_VIN_GEN_FAILURE_EMAIL,Courriel de l'échec de la génération de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_GEN_FAILURE_EMAIL_SUB,Objet de l'e-mail de l'échec de la génération de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_GEN_FAILURE_SMS,SMS de l'échec de la génération de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_REV_FAILURE_EMAIL,Courriel de l'échec de la révocation de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_REV_FAILURE_EMAIL_SUB,Objet du courriel de l'échec de la révocation de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_REV_FAILURE_SMS,SMS de l'échec de la révocation de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_UIN_UPDATE_SUCCESS_EMAIL,Courriel de confirmation de la requête de mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
RS_UIN_UPDATE_SUCCESS_EMAIL_SUB,Objet du courriel de confirmation de la requête de mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
RS_UIN_UPDATE_SUCCESS_SMS,SMS de confirmation de la requête de mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
RS_UIN_UPDATE_FAILURE_EMAIL,Courriel de l'échec de la requête de mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
RS_UIN_UPDATE_FAILURE_EMAIL_SUB,Objet du courriel de l'échec de la requête de mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
RS_UIN_UPDATE_FAILURE_SMS,SMS de l'échec de la requête de mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
Email-Reminder,Modèle de courriel de rappel de rendez-vous,fra,TRUE,superadmin,now()
SMS-Reminder,Modèle de SMS de rappel de rendez-vous,fra,TRUE,superadmin,now()
Reminder-email-subject,Modèle d'objet d'email de rappel de rendez-vous,fra,TRUE,superadmin,now()
